"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCAL_00461",747.66350373697,-4.13213216540693,0.254345826909683,-16.2461174048444,2.37965675891801e-59,2.76349539413149e-55
"TCAL_02439",8592.77958749744,-3.36423298376589,0.221488429316245,-15.1892042132927,4.16950708520806e-52,2.42102428902606e-48
"TCAL_07926",2150.54466679695,-2.19705393869265,0.146478641599656,-14.9991419547531,7.43745778737531e-51,2.87903990949298e-47
"TCAL_05776",202.43084888709,-1.53563249190736,0.1050509024308,-14.617984770944,2.15690619357176e-48,6.26203790648721e-45
"TCAL_14754",135.731867181023,-2.54009538675493,0.186486301820527,-13.6208148371107,3.01188377853309e-42,6.99540126402096e-39
"TCAL_02557",71.5951090073812,2.2588525681711,0.172160893304648,13.1205904245277,2.50971974223594e-39,4.85756256109767e-36
"TCAL_16031",235.346872695639,-1.24877380686076,0.0957142519664992,-13.04689511963,6.61903864181199e-39,1.09809851067661e-35
"TCAL_08675",9379.11104339977,-1.20458074670947,0.0932717531286754,-12.9147432776101,3.71681620794771e-38,5.3954233278621e-35
"TCAL_14798",262.079251121092,2.41903237676897,0.187949938431916,12.8706207458815,6.58706264233113e-38,8.4995064961546e-35
"TCAL_11523",2345.06306743368,-2.08121301669612,0.169943570265659,-12.246494606667,1.75415444088285e-34,2.03709955219726e-31
"TCAL_10671",1314.99591552532,-1.31048753080688,0.109390712288626,-11.9798793095813,4.52982663998487e-33,4.78226152455857e-30
"TCAL_06511",401.570338596585,-1.50410221992157,0.127172426050262,-11.8272668583606,2.82180864234731e-32,2.7308053136316e-29
"TCAL_14669",80.3022020785467,-3.30354178031293,0.283148876962103,-11.6671548047675,1.87592570492667e-31,1.67577886240873e-28
"TCAL_04517",3666.18274017939,-2.13316845728844,0.194815983223124,-10.949658349363,6.66987112703431e-28,5.53265809987496e-25
"TCAL_05698",363.042046980744,-0.761138618768796,0.0708963287137651,-10.7359384128591,6.90141936267924e-27,5.34307887058627e-24
"TCAL_06906",2264.53701088556,-2.57240811794695,0.240316171231788,-10.7042655713162,9.7198326594246e-27,7.05477604211861e-24
"TCAL_03375",677.426612054153,-1.71660327102542,0.166026498995367,-10.3393330667855,4.67781622371601e-25,3.19549881211847e-22
"TCAL_04965",849.956400038186,-1.13428952228102,0.110378802559365,-10.2763347307647,9.00886869671921e-25,5.81222178750001e-22
"TCAL_03439",26825.1998078723,-1.31589161280092,0.129690898405334,-10.1463682415727,3.43924693796494e-24,2.10210393108352e-21
"TCAL_12659",620.784757050876,-1.8731347327254,0.186764722737075,-10.0293819157828,1.13223127449314e-23,6.41265615119831e-21
"TCAL_14662",169.862935212294,-2.09002958744164,0.208439710701252,-10.0270221082642,1.15961232390566e-23,6.41265615119831e-21
"TCAL_17017",321.613165624055,-1.73839692936693,0.177651738270423,-9.78542031894292,1.30053786537091e-22,6.86506646843291e-20
"TCAL_05177",1058.24550865627,-2.78134190220439,0.295220208312077,-9.42124496865148,4.45770742567364e-21,2.25075462323252e-18
"TCAL_08840",26229.9621241127,-1.53423282703002,0.165276755678741,-9.28281064526827,1.65065695624059e-20,7.98711634700914e-18
"TCAL_08275",185.815647719359,-1.07139911020073,0.117190196524524,-9.14239537072983,6.10840556017069e-20,2.83747655081049e-17
"TCAL_06581",3149.64661877248,-0.745464091029004,0.0870075991842219,-8.56780439890803,1.05476759581365e-17,4.71116003468611e-15
"TCAL_12977",1577.66567710224,-0.855799714179601,0.10032900026284,-8.52993363770787,1.46431692673731e-17,6.07325445364299e-15
"TCAL_17019",186.155854857047,1.06674291436099,0.125034496593932,8.53158882884448,1.44351311338025e-17,6.07325445364299e-15
"TCAL_10744",32.9689647389516,2.25594983106109,0.269135112654801,8.38222039780673,5.19384633827083e-17,2.07986681125307e-14
"TCAL_05281",390.926699768599,-1.08864007331744,0.137448478046351,-7.92035014713168,2.36842661603801e-15,9.16817943068312e-13
"TCAL_05387",454.229789657795,-0.739061310625417,0.0933684476347434,-7.91553602258248,2.46190100467273e-15,9.2225988281498e-13
"TCAL_03125",848.736168170601,-1.09229667813482,0.138514385594879,-7.88579953947538,3.12527961898947e-15,1.1341835067289e-12
"TCAL_01551",475.714097853073,-0.702654908566582,0.0894718650987405,-7.8533615879264,4.05031757531652e-15,1.42534357582275e-12
"TCAL_05111",357.593466586545,0.615143659823135,0.0783896534118974,7.84725576717212,4.25239453012438e-15,1.45244287289219e-12
"TCAL_09693",243.609593602927,-0.762786495742476,0.0975967564072796,-7.81569515035216,5.46605194218989e-15,1.81363603441861e-12
"TCAL_00047",95.0768263283201,0.887517510555785,0.114321383857971,7.76335520621762,8.27115399292538e-15,2.66813642555118e-12
"TCAL_12107",205.656346099785,-1.0528589092946,0.136266781152997,-7.72645321468685,1.10584415507867e-14,3.47085626295368e-12
"TCAL_10674",54.217662845817,1.87252385896622,0.244462299916769,7.65976536915408,1.86273077246535e-14,5.69260327911581e-12
"TCAL_02419",1223.10153438063,-1.32765989992192,0.173722046645302,-7.64243759246445,2.13147323927747e-14,6.34687146864853e-12
"TCAL_15032",527.431266915552,0.645782119738454,0.0845867105614449,7.63455766812624,2.26597046748162e-14,6.57867875971601e-12
"TCAL_09890",155.214631416817,-1.11450307494796,0.148720996304052,-7.49391883220992,6.68470721428454e-14,1.89340255803625e-11
"TCAL_08964",2655.01111762743,-1.22468170182142,0.163739775730084,-7.47943922825595,7.46404174575976e-14,2.06380754270257e-11
"TCAL_06802",1259.32842489304,-1.27354941315657,0.172668134690681,-7.37570609329867,1.63476296440393e-13,4.41500053619136e-11
"TCAL_01380",1407.67201477996,-0.725748027538954,0.0991013309333522,-7.32329243920079,2.41959718835646e-13,6.38608685190535e-11
"TCAL_11456",285.681660744791,-0.735526132252317,0.100879247018798,-7.29115406774654,3.0731108841796e-13,7.93067482177283e-11
"TCAL_10492",2890.3694532334,-0.661600900041025,0.0914851890861777,-7.2317815227753,4.7669866565605e-13,1.20345687049211e-10
"TCAL_13434",884.807156777675,-0.761004919071474,0.105643132018209,-7.20354370921441,5.86674631630415e-13,1.44958563768596e-10
"TCAL_02167",65.4242620394373,-1.07552311425332,0.150611858776226,-7.14102543446661,9.26372066572216e-13,2.24124141856316e-10
"TCAL_04037",519.489221884627,-0.63382164817899,0.0892736082242731,-7.09976510176114,1.24969110876864e-12,2.96176792778168e-10
"TCAL_01542",661.367607660747,-0.344524257278738,0.0487421293299262,-7.06830542725613,1.56837058037308e-12,3.57127206860248e-10
"TCAL_08981",47731.3646538269,-0.612973530941523,0.0867054296578829,-7.06960951995922,1.55370268812967e-12,3.57127206860248e-10
"TCAL_05754",302.327265834166,-1.18947375303573,0.168781012676343,-7.04743818143032,1.82241744910353e-12,4.06994881469986e-10
"TCAL_01788",107.256820925179,-1.06704478702703,0.153121818123702,-6.96860055674754,3.20109141967473e-12,7.01401408616653e-10
"TCAL_08249",188.550420554138,-1.21149787198169,0.174518457712429,-6.94194693135551,3.86732506435099e-12,8.31689740227927e-10
"TCAL_10091",1005.73429093862,-0.406552127800831,0.0586489231047928,-6.93196236654526,4.15042386869925e-12,8.76343134312807e-10
"TCAL_05534",128.217178049092,-0.809973570338562,0.118290812730362,-6.84730750971217,7.52528454993266e-12,1.56055588354229e-09
"TCAL_08949",16992.2429301285,-0.55168622745978,0.0808253075676201,-6.82566196235293,8.75207968852518e-12,1.78312107759374e-09
"TCAL_12104",623.425240659921,-0.488095847981133,0.0719207657485381,-6.78657746342271,1.14824864363721e-11,2.2990709480274e-09
"TCAL_13435",50.4618024837037,1.47172838549568,0.217717823302836,6.75979744409152,1.38184792435829e-11,2.71989829585981e-09
"TCAL_15708",139.343680431507,0.76855998465115,0.11492022602851,6.68776951813935,2.26597636031709e-11,4.38579724539372e-09
"TCAL_10651",3187.13543574664,-0.616150438918753,0.0923147752518097,-6.67445094502003,2.48159466639789e-11,4.72438669850471e-09
"TCAL_03376",1070.15566283487,-1.13586922732658,0.170449453735625,-6.66396519573692,2.66536610965097e-11,4.91315819545662e-09
"TCAL_14204",14.1258521799599,2.80782464662188,0.421292540046347,6.66478605653208,2.65051175734459e-11,4.91315819545662e-09
"TCAL_12922",366.546928189515,-1.28410801732251,0.195281737838974,-6.57566873140673,4.84349822731566e-11,8.78867889278387e-09
"TCAL_10217",185.478405980977,-0.714924277322146,0.109177209994808,-6.54829224300701,5.81987476895667e-11,1.03978777987529e-08
"TCAL_02126",2479.82357566541,-0.693002227183842,0.10736142116657,-6.45485333235906,1.08323760491217e-10,1.90600580391591e-08
"TCAL_05313",276.218601528278,0.746377618100087,0.1161580627764,6.42553431298897,1.31407118426046e-10,2.27765800937563e-08
"TCAL_00370",32.9400681229919,1.28808479235052,0.200825402892602,6.41395348296335,1.41793489560666e-10,2.42154087392355e-08
"TCAL_02371",14597.9729552934,-0.552603972160353,0.0862822721521262,-6.40460616505375,1.507580215675e-10,2.53732304994692e-08
"TCAL_06342",1532.84913889214,-0.887933730663065,0.139111483220232,-6.38289313080896,1.73773183254198e-10,2.84229292553662e-08
"TCAL_16517",268.396542759721,-0.849542676287619,0.133075392624918,-6.38392011874134,1.72611155732442e-10,2.84229292553662e-08
"TCAL_03782",162.205560721551,-0.85392507665116,0.135758070009356,-6.29005020911324,3.17363306988758e-10,5.11880567230617e-08
"TCAL_09319",1132.54477676462,-0.565581042748922,0.0903120044388629,-6.262523418266,3.78796967542879e-10,6.025985183665e-08
