"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCAL_08675",9379.11104339977,1.01575801776265,0.0934815343288154,10.8658680567842,1.67621428426738e-27,1.94658764831971e-23
"TCAL_17019",186.155854857047,-1.23568887341722,0.12449645724975,-9.92549427280755,3.22500898660555e-23,1.87260146807251e-19
"TCAL_06802",1259.32842489304,1.57215233590862,0.174109769610054,9.02966180145834,1.72203163010281e-19,6.66598444012796e-16
"TCAL_16784",1950.16536082633,1.01334030282303,0.11823415412856,8.57062250998297,1.0292712176024e-17,2.98823166250418e-14
"TCAL_08242",8619.14006961347,0.8828492399773,0.103847947697611,8.50136434614982,1.8737525371492e-17,4.35197764278274e-14
"TCAL_00909",40.6342733348751,-1.63482247979435,0.195159033104056,-8.37687322893572,5.43523359706393e-17,1.05198946271172e-13
"TCAL_01551",475.714097853073,0.778393004657856,0.0939262607991532,8.2872776796931,1.15869907928822e-16,1.92228177253915e-13
"TCAL_05776",202.43084888709,0.863348727117481,0.105041522071282,8.21911859323217,2.05004244100485e-16,2.97589285842367e-13
"TCAL_06624",16622.3930930037,1.06510361013901,0.137127950319761,7.76722475363592,8.02244205364473e-15,1.03516243965529e-11
"TCAL_10671",1314.99591552532,0.796006744320074,0.109282277687838,7.28395089452515,3.24183055385424e-13,3.76473782219093e-10
"TCAL_06511",401.570338596585,0.919240584114274,0.127252155228558,7.22377222187884,5.05649265950819e-13,5.33827720498806e-10
"TCAL_05274",663.284598622806,-0.592562187644148,0.0836493621837246,-7.08388171977528,1.40171559905821e-12,1.35651027098859e-09
"TCAL_06581",3149.64661877248,0.607660424506742,0.0872399353620208,6.96539287867562,3.27488530289578e-12,2.92548023250221e-09
"TCAL_13434",884.807156777675,0.725126994118266,0.106387646665921,6.81589467238912,9.36789144490891e-12,7.77066595355194e-09
"TCAL_12220",311.069026174909,0.775017462117493,0.118375303062961,6.54712124965189,5.86567401617690e-11,4.54120482332416e-08
"TCAL_00113",47.0061165124495,-1.20022669233575,0.183959404895567,-6.52441060579163,6.82694520874174e-11,4.95508216931986e-08
"TCAL_07926",2150.54466679695,0.944936260938035,0.146115492586074,6.46705044217942,9.99342983699554e-11,6.82668827629583e-08
