"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCAL_17019",186.155854857047,-1.65263972419878,0.127448314231508,-12.9671367892461,1.87919679933362e-38,2.18231124306614e-34
"TCAL_08675",9379.11104339977,1.20440925257542,0.0934471548513965,12.8886669100918,5.21372524573407e-38,3.02734956393549e-34
"TCAL_01551",475.714097853073,1.15168604307535,0.0927640108947046,12.4152247403642,2.1607924048407e-35,8.36442739913834e-32
"TCAL_08242",8619.14006961347,1.24028313956113,0.103785956446872,11.9503946586071,6.46176493926136e-33,1.87601190599106e-29
"TCAL_14591",474.947496237506,1.49790407054378,0.12577925406812,11.9089915236144,1.06254560912833e-32,2.46786843176147e-29
"TCAL_15853",3555.63498519995,-2.17563576477494,0.184636518157931,-11.7833448468411,4.7567268002113e-32,9.20664472180897e-29
"TCAL_09890",155.214631416817,-1.52911900692568,0.133457015660121,-11.4577641299872,2.14993372581905e-30,3.5667400511338e-27
"TCAL_16784",1950.16536082633,1.25314898937832,0.118070030559549,10.6136077329657,2.57606055596036e-26,3.73947390454596e-23
"TCAL_06802",1259.32842489304,1.78716895351618,0.173965829446885,10.2731033973648,9.31586951496375e-25,1.11544146101868e-21
"TCAL_13810",165.214873167138,-1.18697197933363,0.115574894678274,-10.2701541077567,9.60511031618601e-25,1.11544146101868e-21
"TCAL_00909",40.6342733348751,-2.05882985943298,0.205247281586149,-10.0309726078823,1.11413660232118e-23,1.17622439661417e-20
"TCAL_05274",663.284598622806,-0.837552088185135,0.084077016240923,-9.96172468567541,2.24140140427722e-23,2.16911620898928e-20
"TCAL_12804",393.188370974177,0.831886534499415,0.0868786608908921,9.57526884011429,1.01592651784687e-21,9.07534973211977e-19
"TCAL_01161",472.978251926035,-0.909484651996167,0.0952172282078942,-9.55168165587038,1.27607843951335e-21,1.05850706557633e-18
"TCAL_06624",16622.3930930037,1.30289932817774,0.137112753314062,9.50239344398103,2.05120543527224e-21,1.58804324798776e-18
"TCAL_05569",438.002015326115,0.795981057815698,0.0845210582036227,9.41754723299928,4.61748053986726e-21,3.35142509434241e-18
"TCAL_05776",202.43084888709,0.965689478428042,0.104181473648093,9.26930138932351,1.87369103374347e-20,1.27995141028606e-17
"TCAL_00766",359.689166930794,0.872428428768686,0.0965813367889514,9.03309539683747,1.66883084160986e-19,1.07667403131196e-16
"TCAL_11475",195.459073017173,-0.915682777264566,0.104582363467747,-8.75561372780565,2.02995821208113e-18,1.24073182720517e-15
"TCAL_14774",2295.80661019746,0.612239766162246,0.0731069640575564,8.37457517289646,5.54234356722512e-17,3.21816179230926e-14
"TCAL_06511",401.570338596585,1.04636297262725,0.126848284219677,8.24893280239526,1.59815264248601e-16,8.83778411294764e-14
"TCAL_08167",184.893858158553,-0.981715585049773,0.12152592135581,-8.07824021490404,6.57080755567299e-16,3.4684903701832e-13
"TCAL_15296",1126.94986682238,0.746432120611913,0.0945657490395965,7.89326080734968,2.94391503548739e-15,1.48642110030935e-12
"TCAL_12220",311.069026174909,0.928102736640974,0.117699484477272,7.8853594029139,3.13631529727553e-15,1.51758456446919e-12
"TCAL_05111",357.593466586545,-0.62064517892458,0.0788173488553244,-7.87447418542108,3.4217884454377e-15,1.58948916867472e-12
"TCAL_02557",71.5951090073812,-1.25608245461616,0.160339390122408,-7.83389816848641,4.72971896122799e-15,2.11254716525926e-12
"TCAL_07926",2150.54466679695,1.13204657236662,0.146029698690121,7.75216673403436,9.03376650770623e-15,3.88552335014787e-12
"TCAL_02126",2479.82357566541,0.828435160485047,0.107789407811199,7.68568245533096,1.521835487697e-14,6.31181268522329e-12
"TCAL_13043",61.7052176936421,-1.4885003227638,0.195064568075017,-7.63080828800933,2.33286379939837e-14,9.34191286290114e-12
"TCAL_03439",26825.1998078723,0.947995297750656,0.129709192739328,7.30862075177516,2.69898338734923e-13,1.04477646924289e-10
"TCAL_09466",175.923094453775,-0.626506494126569,0.0872691768654071,-7.17901229998781,7.02168296856523e-13,2.63041304238542e-10
"TCAL_17390",262.199334852683,1.16697896826303,0.163532404900594,7.13607170989995,9.60359223539958e-13,3.48520364467798e-10
"TCAL_13039",1616.10171392797,1.25508505774933,0.179271572626205,7.00102665114831,2.54093598426638e-12,8.67879105449574e-10
"TCAL_13434",884.807156777675,0.744114526380917,0.106281760698993,7.00133796699482,2.53529529766325e-12,8.67879105449574e-10
"TCAL_05494",5363.43185046635,0.524224904365582,0.0752198261813704,6.96923844388537,3.18661216145772e-12,1.05731791517167e-09
"TCAL_05663",1491.72133510936,0.531972641612395,0.0772064802876002,6.8902589475748,5.56909199799003e-12,1.79649626035162e-09
"TCAL_10671",1314.99591552532,0.74826905023725,0.109264976419608,6.84820584561046,7.47819108139779e-12,2.34714143319656e-09
"TCAL_04449",124.188638545453,-0.836790561814142,0.122436762699923,-6.83447147214282,8.23079126296015e-12,2.51537312991464e-09
"TCAL_05387",454.229789657795,0.644430196660677,0.0948348377585612,6.79528970462652,1.08095088354132e-11,3.21873913091418e-09
"TCAL_09693",243.609593602927,0.665362505678822,0.0986691275743981,6.7433707182333,1.54753678749573e-11,4.49288617829697e-09
"TCAL_04965",849.956400038186,0.732070164766563,0.109710905187981,6.67272012305629,2.51104998771957e-11,6.94305321604462e-09
"TCAL_11065",372.233047759357,-0.659315406369786,0.0987564138586247,-6.67617808918855,2.45253917761191e-11,6.94305321604462e-09
"TCAL_08592",159.397207684839,0.732090609808181,0.11099332238786,6.5958076941776,4.22946866066142e-11,1.14225161758747e-08
