"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCAL_09890",155.214631416817,-2.42992241725524,0.143420444952896,-16.9426501085902,2.18075312796626e-64,2.53250860750722e-60
"TCAL_08242",8619.14006961347,1.54369056579727,0.103750898163492,14.8788164066272,4.52432663206557e-50,2.62705025890887e-46
"TCAL_14591",474.947496237506,1.83777391077311,0.125234622059318,14.6746473183961,9.37014827713709e-49,3.62718439807977e-45
"TCAL_14754",135.731867181023,-2.70777454337395,0.186110127408939,-14.5493132537821,5.89922931145938e-48,1.71269374984944e-44
"TCAL_00461",747.66350373697,-3.56632124970082,0.254614381860359,-14.006754935221,1.4173477977042e-44,3.29193199494778e-41
"TCAL_03375",677.426612054153,-2.27541743080731,0.165578456565637,-13.7422311936173,5.67010701815573e-43,1.09744921336404e-39
"TCAL_02439",8592.77958749744,-2.81475289309172,0.221516461196531,-12.706743678947,5.4246665503385e-37,8.99952180701157e-34
"TCAL_15853",3555.63498519995,-2.24894620035406,0.18466047278343,-12.178817515493,4.03083524501803e-34,5.8512612125493e-31
"TCAL_11523",2345.06306743368,-1.97742297352423,0.169977263688032,-11.6334557376656,2.78586406968017e-31,3.59469327124398e-28
"TCAL_00766",359.689166930794,1.10528130177634,0.095875342904586,11.5283165440806,9.49828500156516e-31,1.10303583723176e-27
"TCAL_16784",1950.16536082633,1.32158209954875,0.118033589754013,11.1966610716745,4.23391713177713e-29,4.46986178648434e-26
"TCAL_14774",2295.80661019746,0.791894642029239,0.0729820457563967,10.850540483237,1.98249548298189e-27,1.91856000365572e-24
"TCAL_11475",195.459073017173,-1.12571840870526,0.106124951645375,-10.6074810047211,2.75064884302141e-26,2.45717577030828e-23
"TCAL_15296",1126.94986682238,0.981624500657794,0.0943250237043294,10.4068301507645,2.30778302959895e-25,1.91430602305233e-22
"TCAL_06906",2264.53701088556,-2.48345223572424,0.240338991778284,-10.3331224673492,4.99089700839994e-25,3.86395246390323e-22
"TCAL_12804",393.188370974177,0.855199606055065,0.086769377386092,9.85600717462498,6.45660730928233e-23,4.68628629266848e-20
"TCAL_12432",477.644480861073,0.761034338877547,0.0779912115988712,9.7579499443058,1.70568191271193e-22,1.16518141484257e-19
"TCAL_14669",80.3022020785467,-2.77077702148841,0.285632680574702,-9.700490209711,3.00053507079328e-22,1.93584520984013e-19
"TCAL_03200",95.7175493270813,1.79455237182406,0.18527533979045,9.68586738987353,3.46256720269139e-22,2.1163575223608e-19
"TCAL_17017",321.613165624055,-1.69800771825459,0.177790834208045,-9.55059199659097,1.28957261014195e-21,7.4879033607892e-19
"TCAL_11553",1820.51408496459,1.1525788182718,0.121513428482247,9.48519709029684,2.41925464758853e-21,1.33784782011646e-18
"TCAL_01161",472.978251926035,-0.893511763446671,0.0951257547144803,-9.39295321365433,5.83410586476311e-21,3.07961233670427e-18
"TCAL_05281",390.926699768599,-1.28279619046871,0.137178563387463,-9.35128753933243,8.65871683538108e-21,4.37189906996872e-18
"TCAL_13039",1616.10171392797,1.67108031960117,0.179128773633493,9.32893295535137,1.06942076041362e-20,5.17465970445142e-18
"TCAL_08982",10779.5760568786,1.14837238016821,0.123735214570532,9.28088567312104,1.68075567269015e-20,7.80744625078027e-18
"TCAL_05274",663.284598622806,-0.777908679083512,0.083895833700563,-9.27231597530797,1.82147140973487e-20,8.13567210817348e-18
"TCAL_13810",165.214873167138,-1.03115681591968,0.114229493032272,-9.02706287620795,1.76341101495772e-19,7.58462670989036e-17
"TCAL_05177",1058.24550865627,-2.64600058824321,0.295273408132571,-8.96118822544026,3.21198234198458e-19,1.3321696763381e-16
"TCAL_05569",438.002015326115,0.745175280528783,0.084632666228165,8.80481867982076,1.31064288871184e-18,5.24844685055536e-16
"TCAL_11302",1378.32384560399,-0.606276400483171,0.0700733058970547,-8.65203079434923,5.05909884159779e-18,1.9583771615825e-15
"TCAL_12235",880.289364110505,-0.901526469304996,0.10536087189555,-8.55655855049041,1.16286789267805e-17,4.35625317344198e-15
"TCAL_09874",282.629444601666,-0.908077084052218,0.10694796079662,-8.49083121630609,2.05164354202181e-17,7.44554264171854e-15
