# Program:featureCounts v1.6.3; Command:"featureCounts" "-a" "../SDv2.2_Genes.gff" "-F" "GFF" "-t" "mRNA" "-g" "Parent" "-s" "1" "-o" "counts/3.5-4.txt" "starmapping/3.5-4_S21Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	starmapping/3.5-4_S21Aligned.sortedByCoord.out.bam
TCAL_15439	Chromosome_12	10812070	10812532	-	463	0
TCAL_15437	Chromosome_12	10680769	10687762	-	6994	0
TCAL_15436	Chromosome_12	10667530	10668148	-	619	9
TCAL_15435	Chromosome_12	10620410	10621244	+	835	1
TCAL_15434	Chromosome_12	10423883	10425893	-	2011	38
TCAL_15433	Chromosome_12	10383450	10385210	+	1761	0
TCAL_15432	Chromosome_12	10365094	10365557	+	464	0
TCAL_15431	Chromosome_12	9809059	9810941	+	1883	52
TCAL_15430	Chromosome_12	9493233	9506404	+	13172	1219
TCAL_13970	Chromosome_12	11069972	11075346	+	5375	2
TCAL_13972	Chromosome_12	13228852	13229585	-	734	0
TCAL_13977	Chromosome_12	13068849	13080292	+	11444	7
TCAL_12371	Chromosome_12	344961	350346	-	5386	0
TCAL_12370	Chromosome_12	342490	344872	+	2383	4
TCAL_12373	Chromosome_12	418493	420145	+	1653	85
TCAL_12372	Chromosome_12	351907	365007	-	13101	44
TCAL_12375	Chromosome_12	430807	437059	+	6253	112
TCAL_12374	Chromosome_12	425221	428000	-	2780	4212
TCAL_13396	Chromosome_12	15058035	15067854	+	9820	0
TCAL_13393	Chromosome_12	14984108	14985308	-	1201	1344
TCAL_06297	Chromosome_12	4536299	4537306	+	1008	0
TCAL_06296	Chromosome_12	4485815	4492769	+	6955	0
TCAL_13377	Chromosome_12	5642820	5643704	-	885	0
TCAL_17449	Chromosome_12	5631767	5632704	-	938	0
TCAL_08999	Chromosome_12	10183081	10191613	+	8533	21
TCAL_13567	Chromosome_12	12810173	12818428	-	8256	35
TCAL_13569	Chromosome_12	12790287	12791877	+	1591	100
TCAL_13568	Chromosome_12	12802084	12803272	+	1189	0
TCAL_13702	Chromosome_12	3056502	3066674	-	10173	41
TCAL_13704	Chromosome_12	3071742	3093947	-	22206	16
TCAL_09445	Chromosome_12	5483200	5497185	+	13986	161
TCAL_09443	Chromosome_12	5498275	5508726	-	10452	38
TCAL_09442	Chromosome_12	5509410	5514071	-	4662	72
TCAL_15415	Chromosome_12	17751677	17752195	-	519	0
TCAL_15414	Chromosome_12	17750234	17750761	-	528	0
TCAL_15417	Chromosome_12	2548996	2549415	+	420	0
TCAL_15416	Chromosome_12	17944437	17953009	-	8573	20
TCAL_15411	Chromosome_12	14495467	14497063	+	1597	1082
TCAL_15410	Chromosome_12	1456320	1460683	-	4364	0
TCAL_15413	Chromosome_12	16909365	16914615	-	5251	1
TCAL_15412	Chromosome_12	16343360	16346888	-	3529	0
TCAL_15419	Chromosome_12	3622816	3625592	-	2777	0
TCAL_15418	Chromosome_12	3250281	3261609	-	11329	3
TCAL_13957	Chromosome_12	16260136	16260664	-	529	0
