SeqName,Description
TCAL_17466-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_17465-PA,Similar to ASB2 Ankyrin repeat and SOCS box protein 2 (Bos taurus)
TCAL_17464-PA,Protein of unknown function
TCAL_17463-PA,Protein of unknown function
TCAL_17462-PA,Protein of unknown function
TCAL_17461-PA,zinc finger X-chromosomal -like
TCAL_17460-PA,Protein of unknown function
TCAL_17459-PA,Protein of unknown function
TCAL_17458-PA,MFS-type transporter SLC18B1-like
TCAL_17457-PA,Similar to Gfpt1 Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (Mus musculus)
TCAL_17456-PA,Protein of unknown function
TCAL_17455-PA,Protein of unknown function
TCAL_17454-PA,Similar to C-type lectin 9a (Crotalus adamanteus)
TCAL_17453-PA,Similar to NCAN Neurocan core protein (Homo sapiens)
TCAL_17452-PA,Similar to Histone H1 (Tigriopus californicus)
TCAL_17451-PA,Similar to His4 Histone H4 (Tigriopus californicus)
TCAL_17450-PA,Similar to Mafg Transcription factor MafG (Rattus norvegicus)
TCAL_17449-PA,Protein of unknown function
TCAL_17448-PA,Protein of unknown function
TCAL_17447-PA,Protein of unknown function
TCAL_17446-PA,Protein of unknown function
TCAL_17445-PA,Similar to fundc1-b FUN14 domain-containing protein 1B (Xenopus laevis)
TCAL_17444-PA,Similar to VCATH Viral cathepsin (Epiphyas postvittana nucleopolyhedrovirus)
TCAL_17443-PA,Protein of unknown function
TCAL_17442-PA,Similar to CHIA Acidic mammalian chitinase (Bos taurus)
TCAL_17441-PA,Protein of unknown function
TCAL_17440-PA,Similar to Histone H2B.3 (Tigriopus californicus)
TCAL_17439-PA,Similar to HSD17B10 3-hydroxyacyl-CoA dehydrogenase type-2 (Bos taurus)
TCAL_17438-PA,Similar to CPNE9 Copine-9 (Homo sapiens)
TCAL_17437-PA,Similar to pxn-1 Peroxidasin homolog (Caenorhabditis elegans)
TCAL_17436-PA,Protein of unknown function
TCAL_17435-PA,Protein of unknown function
TCAL_17434-PA,Similar to elB Zinc finger protein Elbow (Drosophila melanogaster)
TCAL_17433-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_17432-PA,Protein of unknown function
TCAL_17431-PA,Protein of unknown function
TCAL_17430-PA,Similar to Chst14 Carbohydrate sulfotransferase 14 (Mus musculus)
TCAL_17429-PA,Protein of unknown function
TCAL_17428-PA,golgi-associated PDZ and coiled-coil motif-containing -like
TCAL_17427-PA,Protein of unknown function
TCAL_17426-PA,Similar to apn2 DNA-(apurinic or apyrimidinic site) lyase 2 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
TCAL_17425-PA,Protein of unknown function
TCAL_17424-PA,Protein of unknown function
TCAL_17423-PA,Similar to RFC4 Replication factor C subunit 4 (Homo sapiens)
TCAL_17422-PA,Similar to pgl 6-phosphogluconolactonase (Bacillus subtilis (strain 168))
TCAL_17421-PA,Similar to Hpcal1 Hippocalcin-like protein 1 (Rattus norvegicus)
TCAL_17420-PA,Similar to DHCR24 Delta(24)-sterol reductase (Homo sapiens)
TCAL_17419-PA,Similar to Venom allergen 3 (Solenopsis invicta)
TCAL_17418-PA,Similar to CG3714 Nicotinate phosphoribosyltransferase (Drosophila melanogaster)
TCAL_17417-PA,Protein of unknown function
TCAL_17416-PA,Protein of unknown function
TCAL_17415-PA,Protein of unknown function
TCAL_17414-PA,Similar to METTL27 Methyltransferase-like protein 27 (Homo sapiens)
TCAL_17413-PA,Similar to Flo1 Flotillin-1 (Drosophila melanogaster)
TCAL_17412-PA,Similar to NT1 Neurotrophin 1 (Drosophila melanogaster)
TCAL_17411-PA,Similar to resilin Pro-resilin (Drosophila melanogaster)
TCAL_17410-PA,Similar to Daxx Death domain-associated protein 6 (Mus musculus)
TCAL_17409-PA,neuroligin- Y-linked-like
TCAL_17408-PA,Similar to CPA2 Carboxypeptidase A2 (Homo sapiens)
TCAL_17407-PA,"Similar to DODA DOPA 4,5-dioxygenase (Amanita muscaria)"
TCAL_17406-PA,Similar to Serine protease inhibitor dipetalogastin (Fragment) (Dipetalogaster maximus)
TCAL_17405-PA,"Similar to Mtfmt Methionyl-tRNA formyltransferase, mitochondrial (Rattus norvegicus)"
TCAL_17404-PA,Similar to resilin Pro-resilin (Drosophila melanogaster)
TCAL_17403-PA,Protein of unknown function
TCAL_17402-PA,Protein of unknown function
TCAL_17401-PA,Protein of unknown function
TCAL_17400-PA,Similar to La protein homolog (Aedes albopictus)
TCAL_17399-PA,Protein of unknown function
TCAL_17398-PA,Protein of unknown function
